file,en_term,canonical_bm,bm_used,all_translations_found,context
aesthetic-services/C02\KP-01.md,body thermal therapy,Terapi haba badan,terapi haba badan*,terapi haba badan*,"Body thermal therapy (*terapi haba badan*) uses heat to induce perspiration (*peluh*), emulsify adip"
aesthetic-services/C02\KP-01.md,body wrap,Balutan badan,haba oklusif*,balutan badan*; haba oklusif*; pembalut badan pakai buang*; produk balutan badan*,"Body wrap | Balutan badan | Occlusive heat (*haba oklusif*) | Detoxification, inch loss |"
aesthetic-services/C02\KP-01.md,sauna,Sauna,haba kering*,haba kering*; kabinet sauna*,"Sauna cabinet | Kabinet sauna | Dry heat (*haba kering*) | Perspiration, detoxificati"
aesthetic-services/C02\KP-01.md,detoxification,Detoksifikasi,detoksifikasi*,balutan herba*; balutan tanah liat*; detoksifikasi*; haba lembap*; pemakanan*,detoxification (*detoksifikasi*) and improve blood circulation (*peredaran darah*)
aesthetic-services/C02\KP-01.md,detoxification,Detoksifikasi,haba lembap*,balutan herba*; balutan tanah liat*; detoksifikasi*; haba lembap*; pemakanan*,"detoxification | | Steam cabinet | Kabinet stim | Moist heat (*haba lembap*) | Deep cleansing,"
aesthetic-services/C02\KP-01.md,perspiration,Peluh,peluh*,haba lembap*; peluh*; peningkatan peluh*,"perspiration (*peluh*), emulsify adipose fats and lipids, reduce fluid retention, promote de"
aesthetic-services/C02\KP-01.md,perspiration,Peluh,haba lembap*,haba lembap*; peluh*; peningkatan peluh*,"Perspiration, detoxification | | Steam cabinet | Kabinet stim | Moist heat (*haba lembap*) |"
aesthetic-services/C02\KP-01.md,contraindication,Kontraindikasi mutlak,tapisan kontraindikasi haba*,tapisan kontraindikasi haba*; tapisan kontraindikasi*,contraindication screening (*tapisan kontraindikasi haba*)
aesthetic-services/C02\KP-01.md,sensitivity,Sensitiviti,toleransi haba*,ekzema*; toleransi haba*,sensitivity (*toleransi haba*) | Determine if client can withstand heat applications | | Ci
aesthetic-services/C02\KP-02.md,sauna,Sauna,kabinet sauna*,haba kering*; kabinet sauna*,"Sauna cabinet (*kabinet sauna*) | Power on, check heating element, verify thermostat "
aesthetic-services/C02\KP-02.md,equipment,Peralatan,Peranti Arus Baki*,Peranti Arus Baki*,equipment is connected to a Residual Current Device (RCD) (*Peranti Arus Baki*) circuit b
aesthetic-services/C02\KP-03.md,hygiene,Kebersihan,topeng muka*,apron*; kebersihan tangan*; kebersihan*; tisu*; topeng muka*,Hygiene during product application and client handling | | Mask (*topeng muka*) | Prote
aesthetic-services/C02\KP-03.md,sanitisation,Sanitasi,Sanitasi Kaki*,Sanitasi Kaki*; sanitasi*,Sanitisation (*Sanitasi Kaki*) Purpose: Prevent transfer of bacteria from feet to treatment 
aesthetic-services/C02\KP-03.md,gloves,Sarung tangan,sarung tangan pakai buang*,sarung tangan pakai buang*,gloves (*sarung tangan pakai buang*) | Hygiene during product application and client h
aesthetic-services/C02\KP-03.md,apron,Apron,apron*,apron*,"Apron (*apron*) | Protect uniform from moisture, products, and heat | | Disposable gl"
aesthetic-services/C02\KP-03.md,disposable,Boleh guna-buang,sarung tangan pakai buang*,pembalut badan pakai buang*; penutup dada*; sarung tangan pakai buang*,Disposable gloves (*sarung tangan pakai buang*) | Hygiene during product application and c
aesthetic-services/C02\KP-03.md,draping,Pendrapan,Pembalutan Rambut*,Pembalutan Rambut*; minyak/krim urutan*,Draping (*Pembalutan Rambut*) - Gather client's hair and secure with a clip or hair ban
aesthetic-services/C02\KP-04.md,lymphatic drainage,Saliran limfa,pengelupasan badan*,pengelupasan badan*,"lymphatic drainage | | **Body scrub / exfoliation** (*pengelupasan badan*) | Salt scrub, sugar scr"
aesthetic-services/C02\KP-05.md,muscle,Otot,relaksasi otot*,Otot Utama*; balsam otot*; haba oklusif*; rehat*; relaksasi otot*; tonus normal*; tonus otot lemah*,Muscle relaxation** (*relaksasi otot*) | Heat reduces muscle tension and spasm | | **P
aesthetic-services/C02\KP-05.md,body wrap,Balutan badan,produk balutan badan*,balutan badan*; haba oklusif*; pembalut badan pakai buang*; produk balutan badan*,body wrap products (*produk balutan badan*)**:  | Product | Active Ingredients | Primary 
aesthetic-services/C02\KP-05.md,body wrap,Balutan badan,balutan badan*,balutan badan*; haba oklusif*; pembalut badan pakai buang*; produk balutan badan*,Body wrap (*balutan badan*) | Product allergies (patch test required 24 hours prior); cla
aesthetic-services/C02\KP-05.md,sauna,Sauna,kabinet sauna*,haba kering*; kabinet sauna*,Sauna cabinet (*kabinet sauna*) | Claustrophobia; chronic obstructive pulmonary disea
aesthetic-services/C02\KP-05.md,detoxification,Detoksifikasi,detoksifikasi*,balutan herba*; balutan tanah liat*; detoksifikasi*; haba lembap*; pemakanan*,Detoxification** (*detoksifikasi*) | Toxins released through perspiration |  ---  ## 2
aesthetic-services/C02\KP-05.md,detoxification,Detoksifikasi,balutan tanah liat*,balutan herba*; balutan tanah liat*; detoksifikasi*; haba lembap*; pemakanan*,"Detoxification, skin firming | | Mud/clay wrap (*balutan tanah liat*) | Minerals, silicates | "
aesthetic-services/C02\KP-05.md,detoxification,Detoksifikasi,balutan herba*,balutan herba*; balutan tanah liat*; detoksifikasi*; haba lembap*; pemakanan*,"Detoxification, exfoliation | | Herbal wrap (*balutan herba*) | Plant extracts, essential oils"
aesthetic-services/C02\KP-05.md,perspiration,Peluh,peningkatan peluh*,haba lembap*; peluh*; peningkatan peluh*,perspiration** (*peningkatan peluh*) | Sweat glands activated; toxins and excess fluid relea
aesthetic-services/C02\KP-05.md,vasodilation,Vasodilasi,vasodilatasi*,vasodilatasi*,"Vasodilation** (*vasodilatasi*) | Blood vessels dilate, increasing blood flow to the skin su"
aesthetic-services/C03\KP-02.md,friction,Geseran,minyak kelapa*,minyak kelapa*,"friction massage | | Coconut oil (*minyak kelapa*) | Rich, moisturising | Dry skin; long"
aesthetic-services/C03\KP-02.md,draping,Pendrapan,minyak/krim urutan*,Pembalutan Rambut*; minyak/krim urutan*,"Draping, wiping, warmth | | Massage oil / cream (*minyak/krim urutan*) | Lubricant for "
aesthetic-services/C03\KP-04.md,muscle,Otot,Otot Utama*,Otot Utama*; balsam otot*; haba oklusif*; rehat*; relaksasi otot*; tonus normal*; tonus otot lemah*,Muscle Groups by Body Region  | Body Region | Key Muscles (*Otot Utama*) | Massage Tec
aesthetic-services/C03\KP-04.md,effleurage,Effleuraj,betis*,betis*,"Effleurage, petrissage | | Lower leg | Gastrocnemius, soleus (*betis*) | Effleurage, petri"
aesthetic-services/C03\KP-04.md,petrissage,Petrissaj,betis*,betis*,"petrissage | | Lower leg | Gastrocnemius, soleus (*betis*) | Effleurage, petrissage, frict"
aesthetic-services/C03\KP-04.md,tapotement,Tapotman,tekanan*,tekanan*,tapotement | | **Pressure** (*tekanan*) | Force applied to the tissue | Light for relaxati
aesthetic-services/C03\KP-05.md,muscle,Otot,balsam otot*,Otot Utama*; balsam otot*; haba oklusif*; rehat*; relaksasi otot*; tonus normal*; tonus otot lemah*,Muscle rub/balm (*balsam otot*) | For areas of residual tension | | Epsom salt (for ba
aesthetic-services/C04\KP-01.md,high frequency,Frekuensi tinggi,unit frekuensi tinggi*,frekuensi tinggi*; unit frekuensi tinggi*,"High frequency unit** (*unit frekuensi tinggi*) | Stimulate circulation, germicidal effect (di"
aesthetic-services/C04\KP-01.md,vacuum suction,Sedutan vakum,mesin sedutan vakum*,mesin sedutan vakum*; sedutan vakum*; vena varikoz*; ventous/cawan*,"Vacuum suction machine** (*mesin sedutan vakum*) | Lymphatic drainage, cellulite reduction | S"
aesthetic-services/C04\KP-01.md,micro-current,Arus mikro,unit arus mikro*,arus mikro*; flebitis*; unit arus mikro*,"Micro-current unit** (*unit arus mikro*) | Muscle re-education, skin tightening, anti-ageing "
aesthetic-services/C04\KP-01.md,machine,Mesin,mesin sedutan vakum*,mesin sedutan vakum*; pad elektrod*; ventous/cawan*,"machine** (*mesin sedutan vakum*) | Lymphatic drainage, cellulite reduction | Suction p"
aesthetic-services/C04\KP-01.md,electrode,Elektrod,unit arus mikro*,pad elektrod*; unit arus mikro*,"Electrode type, intensity | | **Micro-current unit** (*unit arus mikro*) | Muscle re-educ"
aesthetic-services/C04\KP-01.md,hygiene,Kebersihan,apron*,apron*; kebersihan tangan*; kebersihan*; tisu*; topeng muka*,Hygiene and PPE  | PPE Item | Purpose | |----------|---------| | Apron (*apron*) | Prot
aesthetic-services/C04\KP-01.md,apron,Apron,apron*,apron*,Apron (*apron*) | Protect uniform from conductive gels and products | | Mask (*topeng
aesthetic-services/C04\KP-02.md,electrotherapy,Elektroterapi,perentak jantung*,perentak jantung*,electrotherapy) | Condition | Reason | |-----------|--------| | Pacemaker (*perentak jantung*)
aesthetic-services/C04\KP-03.md,machine,Mesin,pad elektrod*,mesin sedutan vakum*; pad elektrod*; ventous/cawan*,machine with adjustable settings | | Electrode pads (*pad elektrod*) | Placed on motor 
aesthetic-services/C04\KP-03.md,electrode,Elektrod,pad elektrod*,pad elektrod*; unit arus mikro*,Electrode pads (*pad elektrod*) | Placed on motor points of target muscles | | Conductive
aesthetic-services/C04\KP-03.md,conductive gel,Gel konduktif,gel konduktif*,gel konduktif*,Conductive gel (*gel konduktif*) | Applied between pad and skin for conductivity | | Straps/ba
aesthetic-services/C04\KP-05.md,vacuum suction,Sedutan vakum,sedutan vakum*,mesin sedutan vakum*; sedutan vakum*; vena varikoz*; ventous/cawan*,Vacuum Suction  **Vacuum suction** (*sedutan vakum*) uses negative pressure (suction) to lift 
aesthetic-services/C04\KP-05.md,vacuum suction,Sedutan vakum,ventous/cawan*,mesin sedutan vakum*; sedutan vakum*; vena varikoz*; ventous/cawan*,Vacuum suction machine | Adjustable suction pressure | | Ventouses/cups (*ventous/cawan*) | Va
aesthetic-services/C04\KP-05.md,vacuum suction,Sedutan vakum,vena varikoz*,mesin sedutan vakum*; sedutan vakum*; vena varikoz*; ventous/cawan*,Vacuum suction must NEVER be used over varicose veins (*vena varikoz*) — suction pressure risk
aesthetic-services/C04\KP-05.md,machine,Mesin,ventous/cawan*,mesin sedutan vakum*; pad elektrod*; ventous/cawan*,machine | Adjustable suction pressure | | Ventouses/cups (*ventous/cawan*) | Various si
aesthetic-services/C04\KP-06.md,gyratory massage,Urutan giratori,urutan mekanikal/giratori*,urutan mekanikal/giratori*,gyratory massage** (*urutan mekanikal/giratori*) uses an electrically powered device with interc
aesthetic-services/C04\KP-07.md,high frequency,Frekuensi tinggi,frekuensi tinggi*,frekuensi tinggi*; unit frekuensi tinggi*,High Frequency  **High frequency** (*frekuensi tinggi*) uses a rapidly oscillating alternating
aesthetic-services/C04\KP-08.md,micro-current,Arus mikro,arus mikro*,arus mikro*; flebitis*; unit arus mikro*,Micro-Current  **Micro-current** (*arus mikro*) uses extremely low-level electrical currents 
aesthetic-services/C04\KP-08.md,micro-current,Arus mikro,flebitis*,arus mikro*; flebitis*; unit arus mikro*,"micro-current: severe cardiac conditions, phlebitis (*flebitis*), recent surgical incisions ("
aesthetic-services/C04\KP-10.md,clinical waste,Sisa klinikal,sisa klinikal*,benda tajam*; sisa klinikal*,clinical waste** (*sisa klinikal*)
